Equipment;Author;quote;lang
LARGE HOME ELECTRICAL;Gustave Eiffel;Le gros électroménager : là où la puissance rencontre la praticité, et où les tâches ménagères deviennent une aventure.;FR
MUSICAL INSTRUMENT;Coco Chanel;Un instrument de musique : là où le rythme rencontre la mélodie, et où la créativité s'exprime en harmonie.;FR
PROJECTOR;Albert Camus;Un vidéoprojecteur : où chaque mur devient un écran blanc pour projeter vos rêves les plus audacieux.;FR
PC ACCESSORY;Marie Curie;Dans le monde de l'informatique, il n'y a pas d'accessoires inutiles, seulement des inventions qui attendent d'être découvertes.;FR
AIRCON/DEHUMIDIFIER;Henri Bergson;Un climatiseur ou un déshumidificateur : là où la fraîcheur rencontre la sécheresse, et où l'équilibre climatique est à portée de main.;FR
FAN;Gustave Flaubert;Un ventilateur : l'art de disperser les pensées chaudes et de rafraîchir les esprits échauffés.;FR
GAMES CONSOLE;Voltaire;Une console de jeux vidéo : là où l'imagination rencontre l'interaction, et où chaque manette est une baguette magique.;FR
POWER TOOL;Robin Williams;With a power tool, you can turn amateur hour into a DIY masterpiece.;UK
POWER TOOL;Woody Allen;Why use a hammer when you can turn it on and watch it work?;UK
POWER TOOL;George Carlin;A power tool: the closest thing to magic without a wand.;UK
POWER TOOL;Anonymous;Why use a hammer when you can turn it on and watch it work?;UK
POWER TOOL;Mark Twain;A power tool: because sometimes you need to outsource your elbow grease.;UK
TOY;Oscar Wilde;A toy is worth a thousand words, or at least a few hours of distraction.;UK
TOY;George Carlin;Toys: because every adult secretly wants a Lego castle.;UK
TOY;Mark Twain;The reports of my adulthood have been greatly exaggerated... thank goodness for toys.;UK
TOY;Anonymous;Why grow up when you can just play with toys?;UK
TOY;George Bernard Shaw;Youth is wasted on the young... and so are the best toys.;UK
HAIR DRYER;Mae West;A hair dryer: because a little heat can make all the difference.;UK
HAIR DRYER;Mark Twain;The reports of my good hair days have been greatly exaggerated... thank goodness for hair dryers.;UK
HAIR DRYER;George Carlin;With a hair dryer, you can turn bedhead into bedroom chic.;UK
HAIR DRYER;Anonymous;A hair dryer: where bad hair days go to meet their maker.;UK
HAIR DRYER;Robin Williams;A hair dryer: the only thing that can make you look like a million bucks without spending a dime.;UK
DECORATIVE OR SAFETY LIGHTS;Oscar Wilde;Decorative lights: because everything looks better when it's lit up like a Christmas tree.;UK
DECORATIVE OR SAFETY LIGHTS;Mark Twain;The reports of my safety lights have been greatly exaggerated.;UK
DECORATIVE OR SAFETY LIGHTS;George Carlin;Decorative lights: because every room deserves a disco inferno.;UK
DECORATIVE OR SAFETY LIGHTS;Anonymous;Lights: where darkness goes to die.;UK
DECORATIVE OR SAFETY LIGHTS;Robin Williams;With decorative lights, you can turn even the dullest room into a rave.;UK
LAMP;Oscar Wilde;A lamp: the only thing standing between you and the darkness.;UK
LAMP;Mark Twain;The reports of my love for lamps have been greatly exaggerated... thank goodness for lamps.;UK
LAMP;George Carlin;A lamp: because sometimes you need a little light in your life.;UK
LAMP;Anonymous;A lamp: where shadows go to hide.;UK
LAMP;Woody Allen;A lamp: the original mood lighting for your existential crisis.;UK
PORTABLE RADIO;George Carlin;Portable radios: because sometimes you just need to tune out the world.;UK
PORTABLE RADIO;Mark Twain;The reports of my portable radio addiction have been greatly exaggerated... thank goodness for portable radios.;UK
PORTABLE RADIO;Robin Williams;With a portable radio, you can take the soundtrack of your life wherever you go.;UK
PORTABLE RADIO;Anonymous;A portable radio: where music meets mobility.;UK
PORTABLE RADIO;Oscar Wilde;A portable radio: the perfect accessory for the wandering soul.;UK
HANDHELD ENTERTAINMENT DEVICE;Woody Allen;Handheld entertainment devices: because life's too short for boredom.;UK
HANDHELD ENTERTAINMENT DEVICE;Mark Twain;The reports of my addiction to handheld entertainment devices have been greatly exaggerated... thank goodness for handheld entertainment devices.;UK
HANDHELD ENTERTAINMENT DEVICE;George Carlin;Handheld entertainment devices: because sometimes you need to hold the world in the palm of your hand.;UK
HANDHELD ENTERTAINMENT DEVICE;Anonymous;A handheld entertainment device: where reality takes a backseat to the virtual world.;UK
HANDHELD ENTERTAINMENT DEVICE;Robin Williams;With a handheld entertainment device, you can turn waiting rooms into theaters.;UK
FOOD PROCESSOR;Oscar Wilde;A food processor: the only thing that can chop vegetables with style.;UK
FOOD PROCESSOR;George Carlin;With a food processor, you can turn kitchen nightmares into culinary dreams.;UK
FOOD PROCESSOR;Mark Twain;The reports of my cooking skills have been greatly exaggerated... thank goodness for food processors.;UK
FOOD PROCESSOR;Anonymous;Why cry over chopped onions when you can let a food processor do the work?;UK
FOOD PROCESSOR;Woody Allen;A food processor: the original hack for lazy chefs.;UK
SMALL HOME ELECTRICAL;Woody Allen;Small home electricals: because big problems deserve small solutions.;UK
SMALL HOME ELECTRICAL;George Carlin;Small home electricals: the unsung heroes of modern living.;UK
SMALL HOME ELECTRICAL;Mark Twain;The reports of my love for small home electricals have been greatly exaggerated... thank goodness for small home electricals.;UK
SMALL HOME ELECTRICAL;Anonymous;In the world of electronics, there are no strangers, only devices waiting to be discovered.;UK
SMALL HOME ELECTRICAL;Robin Williams;Small home electricals: because sometimes the little things make the biggest difference.;UK
POWER TOOL;Terry Pratchett;A power tool: because sometimes you need to fix problems with more power than sense.;UK
TOY;Lewis Carroll;"Toys are like dreams; some are simple, some are elaborate, but all are made for play.";UK
HAIR DRYER;Coco Chanel;A hair dryer: where style meets substance and every bad hair day becomes a glamorous affair.;UK
DECORATIVE OR SAFETY LIGHTS;Douglas Adams;Decorative lights: the answer to the ultimate question of life, the universe, and everything... is usually just 'turn them on.';UK
LAMP;Neil Gaiman;A lamp: casting shadows of doubt upon the darkness, one flick of the switch at a time.;UK
PORTABLE RADIO;Arthur Conan Doyle;A portable radio: tuning in to the mysteries of the airwaves, where truth is stranger than fiction.;UK
HANDHELD ENTERTAINMENT DEVICE;Roald Dahl;A handheld entertainment device: the golden ticket to a world of whimsy and wonder.;UK
FOOD PROCESSOR;Julia Child;A food processor: turning culinary chaos into a symphony of flavors with the push of a button.;UK
SMALL HOME ELECTRICAL;Jane Austen;Small home electricals: where even the tiniest contraption can spark the biggest change.;UK
HAIR & BEAUTY ITEM;Audrey Hepburn;Beauty is in the eye of the beholder, but a good hair & beauty item never hurts.;UK
MISC;Walt Disney;In the world of electronics, there's a little bit of magic in every gadget.;UK
SEWING MACHINE;Coco Chanel;A sewing machine: where stitches weave tales of elegance and sophistication.;UK
WATCH/CLOCK;Salvador Dalí;A watch or clock: bending time like the melting minutes in a surrealist masterpiece.;UK
HI-FI SEPARATES;Freddie Mercury;Separates for your hi-fi: because every note deserves to stand out and shine like a rockstar.;UK
DESKTOP COMPUTER; George Orwell;A desktop computer: the eye that watches, the hand that types, the mind that calculates... Big Brother's lesser-known cousin.;UK
BATTERY/CHARGER/ADAPTER; Nikola Tesla;A battery, a charger, an adapter: the silent heroes powering the modern age.;UK
SMALL KITCHEN ITEM; Julia Child;Even the smallest kitchen item can turn a mundane meal into a culinary adventure.;UK
VACUUM; H.G. Wells;A vacuum: sucking up the debris of daily life, leaving behind a clean slate for the future.;UK
TV AND GAMING-RELATED ACCESSORIES; Douglas Adams;TV accessories: because sometimes the answer to life's problems is just a remote click away.;UK
COFFEE MAKER; Charles Dickens;A coffee maker: the faithful companion in the quest for morning clarity and caffeinated bliss.;UK
KETTLE; William Shakespeare;Shall I compare thee to a summer's day? Thou art more boiling and more full of steam.;UK
IRON;J.R.R. Tolkien;An iron: forging wrinkles into submission, one press at a time, in the fires of Mount Laundry.;UK
DIGITAL COMPACT CAMERA;Ansel Adams;A digital compact camera: capturing moments in pixels, freezing time in digital amber.;UK
PRINTER/SCANNER;Isaac Asimov;A printer or scanner: where the virtual world meets the tangible, and ideas materialize in ink and paper.;UK
LAPTOP;Mark Twain;A laptop: the modern writer's tool, turning procrastination into productivity, one keystroke at a time.;UK
HI-FI INTEGRATED; Bob Marley;Integrated hi-fi: because every beat deserves to be felt, not just heard.;UK
PAPER SHREDDER; George Orwell;A paper shredder: where secrets go to be cut down to size, and classified documents become confetti.;UK
TOASTER; Dr. Seuss;A toaster: popping up surprises and turning bread into breakfast adventures.;UK
FLAT SCREEN;George Lucas;A flat screen: where cinematic dreams come to life, in pixels and plasma.;UK
MOBILE; Steve Jobs;The mobile phone: connecting the dots of modern life, one call, text, or tweet at a time.;UK
TABLET; Isaac Newton;A tablet: not just for ancient inscriptions, but for modern marvels of knowledge and entertainment.;UK
DSLR/VIDEO CAMERA; Alfred Hitchcock;A camera: capturing life's moments, whether they be mundane or macabre.;UK
HEADPHONES; Ludwig van Beethoven;Headphones: where every note is a symphony, and every beat is a revolution.;UK
LARGE HOME ELECTRICAL; Thomas Edison;Large home electricals: lighting up the world, one bulb at a time.;UK
MUSICAL INSTRUMENT; Wolfgang Amadeus Mozart;A musical instrument: where melodies dance and harmonies sing, creating magic in the air.;UK
PROJECTOR; Orson Welles;A projector: where imagination meets illumination, casting dreams upon the silver screen.;UK
PC ACCESSORY; Bill Gates;In a world of bytes and pixels, every PC accessory is a pixel-perfect partner in productivity.;UK
AIRCON/DEHUMIDIFIER; Lewis Carroll;An air conditioner or dehumidifier: keeping things cool, calm, and curiouser and curiouser.;UK
FAN; Edgar Allan Poe;A fan: stirring up whispers of the past, and chilling the air with tales of suspense.;UK
GAMES CONSOLE; Miyamoto Musashi;A games console: where every button press is a stroke of the sword, and every victory a triumph of strategy.;UK
POWER TOOL;Victor Hugo;Un outil électrique : là où la force de l'homme rencontre la puissance de l'électricité.;FR
TOY;Marcel Proust;Un jouet : le trésor enfoui de l'enfance, retrouvé à chaque instant de jeu.;FR
HAIR DRYER;Coco Chanel;Un sèche-cheveux : l'outil indispensable pour transformer une coiffure en une œuvre d'art.;FR
DECORATIVE OR SAFETY LIGHTS;Gustave Eiffel;Des lumières décoratives ou de sécurité : où la nuit devient le terrain de jeu de l'imagination.;FR
LAMP;Simone de Beauvoir;Une lampe : l'éclat silencieux qui guide nos pas dans l'obscurité de la nuit.;FR
PORTABLE RADIO;Antoine de Saint-Exupéry;Une radio portable : l'écho lointain des rêves et des aventures qui nous attendent.;FR
HANDHELD ENTERTAINMENT DEVICE;Albert Camus;Un appareil de divertissement portable : l'évasion à portée de main dans un monde absurde.;FR
FOOD PROCESSOR;Édith Piaf;Un robot de cuisine : la symphonie des saveurs orchestrée dans un ballet de légumes.;FR
SMALL HOME ELECTRICAL;Charles de Gaulle;Un petit appareil électroménager : l'outil discret qui simplifie la vie quotidienne avec honneur et résilience.;FR
HAIR & BEAUTY ITEM;Colette;Un accessoire beauté : où la grâce rencontre la modernité, et où chaque geste devient une œuvre d'art.;FR
MISC;Henri Bergson;Dans l'univers des gadgets électroniques, chaque dispositif est une invitation à explorer les mystères de la technologie.;FR
SEWING MACHINE;George Sand;Une machine à coudre : l'outil essentiel pour tisser les fils de la créativité dans le tissu de la réalité.;FR
WATCH/CLOCK;Guy de Maupassant;Une montre ou un réveil : les gardiens du temps, témoins silencieux de nos vies éphémères.;FR
HI-FI SEPARATES;Marie Curie;Des composants hi-fi : là où les ondes sonores rencontrent les particules énergétiques, dans un tourbillon de pureté sonore.;FR
DESKTOP COMPUTER;Alexandre Dumas;Un ordinateur de bureau : la plume électronique qui transcrit nos pensées en lignes de code.;FR
BATTERY/CHARGER/ADAPTER;René Descartes;Une batterie, un chargeur, un adaptateur : les outils de l'esprit moderne, alimentant nos vies connectées.;FR
SMALL KITCHEN ITEM;Émile Zola;Un petit appareil de cuisine : où la créativité culinaire rencontre l'innovation technologique, dans une symphonie de saveurs.;FR
VACUUM;Edgar Allan Poe;Un aspirateur : l'ombre furtive qui dévore les saletés de nos vies, laissant derrière elle un silence immaculé.;FR
TV AND GAMING-RELATED ACCESSORIES;Jules Verne;Des accessoires TV et jeux vidéo : les passerelles vers des mondes imaginaires où l'aventure n'a pas de limites.;FR
COFFEE MAKER;Sartre;Une machine à café : l'arôme envoûtant qui éveille nos sens et fait danser nos âmes dans une transe caféinée.;FR
KETTLE;Stendhal;Une bouilloire : l'eau bouillante qui murmure des promesses de chaleur et de réconfort dans le froid de l'hiver.;FR
IRON;Blaise Pascal;Un fer à repasser : l'outil de la transformation, où les plis de la vie sont lissés par le feu de la volonté.;FR
DIGITAL COMPACT CAMERA;Gustave Flaubert;Un appareil photo numérique : l'œil moderne qui capture les instantanés de nos vies, figeant le temps dans des pixels.;FR
PRINTER/SCANNER;Marcel Proust;Une imprimante ou un scanner : la mémoire électronique qui grave nos souvenirs dans l'infinité du cyberespace.;FR
LAPTOP;Voltaire;Un ordinateur portable : la bibliothèque ambulante qui renferme les trésors de la connaissance à portée de clic.;FR
HI-FI INTEGRATED;Honoré de Balzac;Un système hi-fi intégré : l'harmonie parfaite où les mélodies de l'âme résonnent dans les notes de la technologie.;FR
PAPER SHREDDER;Montesquieu;Une broyeuse à papier : l'outil discret qui déchire les secrets et les dissout dans l'oubli.;FR
TOASTER;Jean-Jacques Rousseau;Un grille-pain : l'artisan du petit-déjeuner, où les tranches de pain deviennent des œuvres croustillantes.;FR
FLAT SCREEN;Jean-Paul Sartre;Un écran plat : la fenêtre moderne sur un monde virtuel, où l'existence se révèle dans un éclat numérique.;FR
MOBILE;Albert Camus;Un téléphone portable : l'écho de nos existences absurdes, où chaque sonnerie est une question sans réponse.;FR
TABLET;Gustave Eiffel;Une tablette : le pont entre le monde réel et le monde numérique, où chaque pixel est une promesse de connexion.;FR
DSLR/VIDEO CAMERA;Victor Hugo;Une caméra : l'œil de la vérité, capturant les moments éphémères pour les graver dans l'éternité.;FR
HEADPHONES;Rousseau;Un casque audio : l'antidote moderne contre le bruit du monde, où chaque note est une évasion dans le silence de l'esprit.;FR
LARGE HOME ELECTRICAL;Marcel Proust;Un gros électroménager : le gardien silencieux de notre confort domestique, veillant sur nos vies avec bienveillance.;FR
MUSICAL INSTRUMENT;Charles Baudelaire;Un instrument de musique : l'extension de l'âme, où chaque note est une confession de l'inexprimable.;FR
PROJECTOR;Simone de Beauvoir;Un vidéoprojecteur : la toile vierge où se projettent nos rêves les plus audacieux, illuminant l'obscurité de l'inconnu.;FR
PC ACCESSORY;Pierre de Fermat;Un accessoire PC : l'algorithme de notre productivité, optimisant nos performances dans l'univers numérique.;FR
AIRCON/DEHUMIDIFIER;Blaise Pascal;Un climatiseur ou un déshumidificateur : l'architecte invisible de notre confort climatique, régulant les flux de l'air et les humeurs de l'atmosphère.;FR
FAN;Marie Curie;Un ventilateur : l'onde de fraîcheur qui dissipe les nuages de chaleur et révèle la beauté cristalline de l'été.;FR
GAMES CONSOLE;Antoine de Saint-Exupéry;Une console de jeux vidéo : l'île imaginaire où les rêves prennent vie et les aventures se déploient dans un horizon infini.;FR
