,original,translated
130,HEATER,HEATER
131,HEATING,HEATING
132,HOLDER,HOLDER
133,HOOVER,HOOVER
134,IDENTIFIED,IDENTIFIED
135,INSIDE,INSIDE
136,INSTALL,INSTALL
137,INSTALLED,INSTALLED
138,INTERMITTENT,INTERMITTENT
139,INTERMITTENTLY,INTERMITTENTLY
140,INTERNAL,INTERNAL
141,ISSUE,ISSUE
142,ISSUES,ISSUES
143,JAMMED,JAMMED
144,KEEPS,KEEPS
145,KETTLE,KETTLE
146,KEYBOARD,KEYBOARD
147,LAPTOP,LAPTOP
148,LEAKING,LEAKING
149,LEVER,LEVER
150,LIGHT,LIGHT
151,LIGHTS,LIGHTS
152,LIKELY,LIKELY
153,LINUX,LINUX
154,LONGER,LONGER
155,LOOSE,LOOSE
156,MACHINE,MACHINE
157,MAINS,MAINS
158,MAKER,MAKER
159,MAKES,MAKES
160,MAKING,MAKING
161,MANUFACTURER,MANUFACTURER
162,MECHANICAL,MECHANICAL
163,MECHANISM,MECHANISM
164,MEMORY,MEMORY
165,MIGHT,MIGHT
166,MISSING,MISSING
167,MIXER,MIXER
168,MOBILE,MOBILE
169,MONITOR,MONITOR
170,MOTHERBOARD,MOTHERBOARD
171,MOTOR,MOTOR
172,MOVING,MOVING
173,MUSIC,MUSIC
174,NEEDED,NEEDED
175,NEEDLE,NEEDLE
176,NEEDS,NEEDS
177,NOISE,NOISE
178,NOISY,NOISY
179,NOTHING,NOTHING
180,ON/OFF,ON/OFF
181,OPENED,OPENED
182,OPENING,OPENING
183,OPERATING,OPERATING
184,ORDER,ORDER
185,ORDERED,ORDERED
186,OTHER,OTHER
187,OUTPUT,OUTPUT
188,OVERHEATING,OVERHEATING
189,OWNER,OWNER
190,PANEL,PANEL
191,PAPER,PAPER
192,PARTS,PARTS
193,PHONE,PHONE
194,PIECE,PIECE
195,PLACE,PLACE
196,PLASTIC,PLASTIC
197,PLAYER,PLAYER
198,PLAYING,PLAYING
199,PLUGGED,PLUGGED
200,PORTABLE,PORTABLE
201,POSSIBLE,POSSIBLE
202,POSSIBLY,POSSIBLY
203,POWER,POWER
204,POWERING,POWERING
205,PRINT,PRINT
206,PRINTER,PRINTER
207,PROBABLY,PROBABLY
208,PROBLEM,PROBLEM
209,PROBLEMS,PROBLEMS
210,PROCESSOR,PROCESSOR
211,PROPERLY,PROPERLY
212,RADIO,RADIO
213,RECOMMENDED,RECOMMENDED
214,RECORD,RECORD
215,RECORDER,RECORDER
216,REMOTE,REMOTE
217,REMOVE,REMOVE
218,REMOVED,REMOVED
219,REPAIR,REPAIR
220,REPAIRABLE,REPAIRABLE
221,REPAIRED,REPAIRED
222,REPLACE,REPLACE
223,REPLACED,REPLACED
224,REPLACEMENT,REPLACEMENT
225,REPLACING,REPLACING
226,REQUIRED,REQUIRED
227,REQUIRES,REQUIRES
228,RESET,RESET
229,RESOLDERED,RESOLDERED
230,RETURN,RETURN
231,REWIRED,REWIRED
232,RIGHT,RIGHT
233,RUNNING,RUNNING
234,SAFETY,SAFETY
235,SCREEN,SCREEN
236,SCREW,SCREW
237,SCREWS,SCREWS
238,SEEMED,SEEMED
239,SEEMS,SEEMS
240,SEWING,SEWING
241,SHORT,SHORT
242,SHOWED,SHOWED
243,SMALL,SMALL
244,SMELL,SMELL
245,SNAPPED,SNAPPED
246,SOCKET,SOCKET
247,SOFTWARE,SOFTWARE
248,SOLDER,SOLDER
249,SOLDERED,SOLDERED
250,SOLDERING,SOLDERING
251,SOLUTION,SOLUTION
252,SOMETIMES,SOMETIMES
253,SOUND,SOUND
254,SOURCE,SOURCE
255,SPARE,SPARE
256,SPEAKER,SPEAKER
257,SPEAKERS,SPEAKERS
258,SPEED,SPEED
259,SPRING,SPRING
260,START,START
261,STARTING,STARTING
262,STEAM,STEAM
263,STEREO,STEREO
264,STILL,STILL
265,STOPPED,STOPPED
266,STOPS,STOPS
267,STRIPPED,STRIPPED
268,STUCK,STUCK
269,SUCTION,SUCTION
270,SUGGESTED,SUGGESTED
271,SUPPLY,SUPPLY
272,SUSPECT,SUSPECT
273,SWITCH,SWITCH
274,SWITCHED,SWITCHED
275,SWITCHES,SWITCHES
276,SWITCHING,SWITCHING
277,SYSTEM,SYSTEM
278,TABLE,TABLE
279,TABLET,TABLET
280,TAKEN,TAKEN
281,TESTED,TESTED
282,TESTING,TESTING
283,THERE,THERE
284,THERMAL,THERMAL
285,THREAD,THREAD
286,THROUGH,THROUGH
287,TIMER,TIMER
288,TOASTER,TOASTER
289,TOGETHER,TOGETHER
290,TOUCH,TOUCH
291,TRIED,TRIED
292,TURNED,TURNED
293,TURNING,TURNING
294,TURNS,TURNS
295,TURNTABLE,TURNTABLE
296,UNABLE,UNABLE
297,UNKNOWN,UNKNOWN
298,UPDATE,UPDATE
299,USING,USING
300,VACUUM,VACUUM
301,VIDEO,VIDEO
302,VOLTAGE,VOLTAGE
303,VOLUME,VOLUME
304,WARRANTY,WARRANTY
305,WATCH,WATCH
306,WATER,WATER
307,WEIGHT,WEIGHT
308,WHEEL,WHEEL
309,WHERE,WHERE
310,WHICH,WHICH
311,WHILE,WHILE
312,WINDOWS,WINDOWS
313,WIRES,WIRES
314,WIRING,WIRING
315,WITHOUT,WITHOUT
316,WORKED,WORKED
317,WORKING,WORKING
318,WORKS,WORKS
319,WOULD,WOULD
320,WOULDN,WOULDN
321,WRONG,WRONG
