,original,translated,check1,CLASS1
118,FIXING,FIXING,1,G
196,VOEDING,FOOD,1,O
119,FOUND,FOUND,0,
66,GEVONDEN,FOUND,0,
57,FANDEN,FOUND,0,
67,GEFUNDEN,FOUND,0,
120,FULLY,FULLY,0,
24,DÉFECTUEUX,FULTY,1,G
121,FUNCTION,FUNCTION,1,G
63,FUNKTION,FUNCTION,1,G
122,FUNCTIONING,FUNCTIONING,1,G
123,FURTHER,FURTHER,0,
209,ZEKERING,FUSE,1,E
29,FUSIBLE,FUSE,1,E
147,SICHERUNG,FUSE,1,E
124,GETTING,GETTING,0,
125,GIVEN,GIVEN,0,
126,GLUED,GLUED,1,M
127,GOING,GOING,0,
162,WAREN,GOODS,0,
82,KOMEN,GRILL,1,O
128,HANDLE,HANDLE,0,
69,HAPERT,HAPERT,1,O
129,HEADPHONES,HEADPHONES,1,E
199,WARMT,HEAT,1,E
13,CHAUFFE,HEAT,1,E
130,HEATER,HEATER,1,E
131,HEATING,HEATING,1,E
83,HEIZUNG,HEATING,1,E
132,HOLDER,HOLDER,1,M
174,THUIS,HOME,0,
133,HOOVER,HOOVER,1,O
68,GEHÄUSE,HOUSING,0,
134,IDENTIFIED,IDENTIFIED,1,G
15,BEELD,IMAGE,1,E
165,WERDEN,IMPLEMENTED,1,G
30,IMPOSSIBLE,IMPOSSIBLE,1,G
135,INSIDE,INSIDE,0,
136,INSTALL,INSTALL,0,
137,INSTALLED,INSTALLED,0,
138,INTERMITTENT,INTERMITTENT,1,E
139,INTERMITTENTLY,INTERMITTENTLY,1,E
140,INTERNAL,INTERNAL,0,
141,ISSUE,ISSUE,0,
142,ISSUES,ISSUES,0,
59,GEGEVEN,ITEM,0,
143,JAMMED,JAMMED,1,M
144,KEEPS,KEEPS,0,
145,KETTLE,KETTLE,0,
146,KEYBOARD,KEYBOARD,1,E
103,LAMPE,LAMP,1,E
147,LAPTOP,LAPTOP,1,E
148,LEAKING,LEAKING,1,O
107,LEIDER,LEIDER,0,
37,NIVEAU,LEVEL,0,
149,LEVER,LEVER,0,
150,LIGHT,LIGHT,1,E
99,LICHT,LIGHTING,1,E
151,LIGHTS,LIGHTS,1,E
76,GLEICH,LIKE,0,
152,LIKELY,LIKELY,0,
202,WEINIG,LIMITED,0,
153,LINUX,LINUX,1,E
42,EINEN,LIVE,0,
90,LADER,LOADER,0,
154,LONGER,LONGER,0,
155,LOOSE,LOOSE,1,M
156,MACHINE,MACHINE,1,M
33,MACHINE,MACHINE,1,M
114,MASCHINE,MACHINE,1,M
104,MACHINE,MACHINE,1,M
105,MAGNEET,MAGNET,1,M
157,MAINS,MAINS,0,
158,MAKER,MAKER,0,
159,MAKES,MAKES,0,
160,MAKING,MAKING,0,
166,STORING,MALFUNCTION,1,G
161,MANUFACTURER,MANUFACTURER,0,
162,MECHANICAL,MECHANICAL,1,M
115,MECHANIK,MECHANICS,1,M
163,MECHANISM,MECHANISM,1,M
164,MEMORY,MEMORY,1,E
165,MIGHT,MIGHT,0,
166,MISSING,MISSING,1,M
167,MIXER,MIXER,1,O
168,MOBILE,MOBILE,1,E
169,MONITOR,MONITOR,1,E
170,MOTHERBOARD,MOTHERBOARD,1,E
171,MOTOR,MOTOR,1,M
110,MOTOR,MOTOR,1,M
116,MOTOR,MOTOR,1,M
172,MOVING,MOVING,1,M
173,MUSIC,MUSIC,0,
174,NEEDED,NEEDED,0,
175,NEEDLE,NEEDLE,1,O
176,NEEDS,NEEDS,0,
168,WOLLTE,NEVER,0,
197,VOLGENDE,NEXT,0,
127,NÄCHSTEN,NEXT,0,
145,SCHON,NICE,0,
177,NOISE,NOISE,1,M
60,GELUID,NOISE,1,M
97,LAWAAI,NOISE,1,M
7,BRUIT,NOISE,1,M
178,NOISY,NOISY,1,M
94,KEINEN,NONE,0,
179,NOTHING,NOTHING,0,
112,NIETS,NOTHING,0,
180,ON/OFF,ON/OFF,1,E
0,AAN/UIT,ON/OFF,1,E
48,EINMAL,ONCE,0,
146,SELBST,ONESELF,0,
177,ÖFFNEN,OPEN,0,
181,OPENED,OPENED,1,M
75,GEÖFFNET,OPENED,1,M
182,OPENING,OPENING,1,M
28,FONCTIONNE,OPERATE,1,E
183,OPERATING,OPERATING,1,E
20,BETRIEB,OPERATION,1,E
184,ORDER,ORDER,0,
18,BESTELLEN,ORDER,0,
129,ORDNUNG,ORDER,0,
185,ORDERED,ORDERED,0,
186,OTHER,OTHER,0,
8,ANDERE,OTHER,0,
187,OUTPUT,OUTPUT,0,
188,OVERHEATING,OVERHEATING,1,E
189,OWNER,OWNER,0,
190,PANEL,PANEL,1,E
38,PANNE,PANNE,1,G
191,PAPER,PAPER,1,O
192,PARTS,PARTS,1,M
40,PIÈCES,PARTS,1,M
193,PHONE,PHONE,0,
194,PIECE,PIECE,1,M
195,PLACE,PLACE,0,
126,PLAATSEN,PLACES,0,
196,PLASTIC,PLASTIC,1,M
127,PLASTIC,PLASTIC,1,M
197,PLAYER,PLAYER,1,E
131,PLAYER,PLAYER,1,E
156,SPELER,PLAYER,1,E
198,PLAYING,PLAYING,1,E
162,STEKKER,PLUG,1,E
199,PLUGGED,PLUGGED,1,E
200,PORTABLE,PORTABLE,0,
201,POSSIBLE,POSSIBLE,0,
119,MÖGLICH,POSSIBLE,0,
202,POSSIBLY,POSSIBLY,0,
203,POWER,POWER,1,E
167,STROOM,POWER,1,E
121,NETZTEIL,POWER,1,E
204,POWERING,POWERING,1,E
205,PRINT,PRINT,0,
128,PRINT,PRINT,0,
206,PRINTER,PRINTER,0,
207,PROBABLY,PROBABLY,0,
208,PROBLEM,PROBLEM,1,G
131,PROBLEEM,PROBLEM,1,G
132,PROBLEM,PROBLEM,1,G
209,PROBLEMS,PROBLEMS,1,G
210,PROCESSOR,PROCESSOR,1,E
211,PROPERLY,PROPERLY,0,
41,POMPE,PUMP,1,M
212,RADIO,RADIO,1,E
132,RADIO,RADIO,1,E
133,RADIO,RADIO,1,E
32,LECTEUR,READER,1,E
213,RECOMMENDED,RECOMMENDED,0,
214,RECORD,RECORD,0,
215,RECORDER,RECORDER,0,
176,ZUVERLÄSSIG,RELIABLE,0,
216,REMOTE,REMOTE,1,E
217,REMOVE,REMOVE,1,E
218,REMOVED,REMOVED,1,M
219,REPAIR,REPAIR,1,G
135,REPAREREN,REPAIR,1,G
47,RÉPARATION,REPAIR,1,G
220,REPAIRABLE,REPAIRABLE,1,G
221,REPAIRED,REPAIRED,1,G
48,RÉPARÉ,REPAIRED,1,G
139,REPARIERT,REPAIRED,1,G
134,REPARATIE,REPAIRS,1,G
222,REPLACE,REPLACE,1,G
45,REMPLACER,REPLACE,1,G
223,REPLACED,REPLACED,1,G
55,ERSETZT,REPLACED,1,G
224,REPLACEMENT,REPLACEMENT,1,G
44,REMPLACEMENT,REPLACEMENT,1,G
225,REPLACING,REPLACING,1,G
226,REQUIRED,REQUIRED,0,
227,REQUIRES,REQUIRES,0,
228,RESET,RESET,1,E
49,RÉSISTANCE,RESISTANCE,1,E
201,WEERSTAND,RESISTOR,1,E
229,RESOLDERED,RESOLDERED,1,E
230,RETURN,RETURN,0,
170,TERUGKOMEN,RETURNING,0,
231,REWIRED,REWIRED,1,E
232,RIGHT,RIGHT,0,
140,RICHTIG,RIGHT,0,
39,PIÈCE,ROOM,0,
233,RUNNING,RUNNING,1,G
112,LÄUFT,RUNNING,1,G
234,SAFETY,SAFETY,1,E
143,SLAAT,SAVES,0,
148,SLUIT,SCOUT,0,
235,SCREEN,SCREEN,1,E
141,SCREEN,SCREEN,1,E
55,ÉCRAN,SCREEN,1,E
236,SCREW,SCREW,1,M
237,SCREWS,SCREWS,1,M
19,BEVEILIGING,SECURITY,1,E
52,SÉCURITÉ,SECURITY,1,E
238,SEEMED,SEEMED,0,
239,SEEMS,SEEMS,0,
100,LIJKT,SEEMS,0,
142,SENSOR,SENSOR,1,E
240,SEWING,SEWING,1,O
241,SHORT,SHORT,0,
242,SHOWED,SHOWED,0,
45,EINFACH,SIMPLY,0,
211,ZITTEN,SITTING,0,
68,HANGEN,SLOUCHING,0,
93,LANGZAAM,SLOWLY,0,
243,SMALL,SMALL,0,
244,SMELL,SMELL,1,O
144,SLANG,SNAKE,0,
245,SNAPPED,SNAPPED,0,
246,SOCKET,SOCKET,1,E
42,PRISE,SOCKET,1,E
25,BUCHSE,SOCKET,1,E
247,SOFTWARE,SOFTWARE,1,E
153,SOFTWARE,SOFTWARE,1,E
149,SOFTWARE,SOFTWARE,1,E
248,SOLDER,SOLDER,1,E
249,SOLDERED,SOLDERED,1,E
64,GESOLDEERD,SOLDERED,1,E
250,SOLDERING,SOLDERING,1,E
251,SOLUTION,SOLUTION,0,
50,SOLUTION,SOLUTION,0,
252,SOMETIMES,SOMETIMES,0,
253,SOUND,SOUND,0,
254,SOURCE,SOURCE,1,E
255,SPARE,SPARE,1,M
52,ERSATZ,SPARE,1,M
256,SPEAKER,SPEAKER,1,E
106,LAUTSPRECHER,SPEAKER,1,E
257,SPEAKERS,SPEAKERS,1,E
58,GEEFT,SPECIFY,0,
258,SPEED,SPEED,1,M
259,SPRING,SPRING,1,M
260,START,START,1,E
160,START,START,1,E
261,STARTING,STARTING,1,E
158,STAAT,STATE,0,
262,STEAM,STEAM,1,E
163,STOOM,STEAM,1,E
164,STOOMT,STEAM,1,E
54,VAPEUR,STEAM,1,E
263,STEREO,STEREO,1,E
264,STILL,STILL,0,
265,STOPPED,STOPPED,1,G
266,STOPS,STOPS,0,
267,STRIPPED,STRIPPED,1,M
152,STARK,STRONG,0,
268,STUCK,STUCK,1,M
51,ERFOLG,SUCCESS,0,
269,SUCTION,SUCTION,1,O
270,SUGGESTED,SUGGESTED,0,
46,REMPLACÉ,SUPERSEDED,0,
271,SUPPLY,SUPPLY,1,E
272,SUSPECT,SUSPECT,1,G
273,SWITCH,SWITCH,1,E
136,SCHAKELAAR,SWITCH,1,E
31,INTERRUPTEUR,SWITCH,1,E
142,SCHALTER,SWITCH,1,E
274,SWITCHED,SWITCHED,1,E
74,GEWECHSELT,SWITCHED,1,E
275,SWITCHES,SWITCHES,1,E
276,SWITCHING,SWITCHING,1,E
277,SYSTEM,SYSTEM,1,E
278,TABLE,TABLE,0,
279,TABLET,TABLET,0,
280,TAKEN,TAKEN,0,
281,TESTED,TESTED,0,
282,TESTING,TESTING,0,
171,TESTEN,TESTING,0,
5,ANDEREN,THEM,0,
283,THERE,THERE,0,
284,THERMAL,THERMAL,1,E
33,DIESE,THIS,0,
285,THREAD,THREAD,1,M
286,THROUGH,THROUGH,0,
39,DURCH,THROUGH,0,
287,TIMER,TIMER,1,E
288,TOASTER,TOASTER,0,
289,TOGETHER,TOGETHER,0,
175,ZUSAMMEN,TOGETHER,0,
290,TOUCH,TOUCH,0,
291,TRIED,TRIED,0,
59,FEHLERSUCHE,TROUBLESHOOTING,0,
53,TOURNE,TURN,1,E
292,TURNED,TURNED,1,E
38,DREHTE,TURNED,1,E
293,TURNING,TURNING,1,M
44,DRAAIEN,TURNING,1,M
294,TURNS,TURNS,1,M
295,TURNTABLE,TURNTABLE,1,M
296,UNABLE,UNABLE,0,
157,UNTER,UNDER,0,
297,UNKNOWN,UNKNOWN,0,
116,ONBEKEND,UNKNOWN,0,
298,UPDATE,UPDATE,0,
299,USING,USING,0,
300,VACUUM,VACUUM,1,O
301,VIDEO,VIDEO,0,
19,BESUCHERIN,VISITOR,0,
18,BESUCHER,VISITORS,0,
302,VOLTAGE,VOLTAGE,1,E
154,SPANNING,VOLTAGE,1,E
151,SPANNUNG,VOLTAGE,1,E
303,VOLUME,VOLUME,1,O
304,WARRANTY,WARRANTY,0,
150,SOLLTE,WASTE,1,M
305,WATCH,WATCH,0,
306,WATER,WATER,1,O
200,WATER,WATER,1,O
163,WASSER,WATER,1,O
87,INTERNET,WEBSITE,1,E
307,WEIGHT,WEIGHT,1,M
51,SOUDURE,WELDING,1,E
308,WHEEL,WHEEL,1,M
309,WHERE,WHERE,0,
310,WHICH,WHICH,0,
311,WHILE,WHILE,0,
312,WINDOWS,WINDOWS,1,E
313,WIRES,WIRES,1,E
14,BEDRADING,WIRES,1,E
314,WIRING,WIRING,1,E
315,WITHOUT,WITHOUT,0,
316,WORKED,WORKED,1,G
205,WERKTE,WORKED,1,G
65,FUNKTIONIERTE,WORKED,1,G
317,WORKING,WORKING,1,G
318,WORKS,WORKS,1,G
53,FUNCTIONEERT,WORKS,1,G
203,WERKEN,WORKS,1,G
64,FUNKTIONIERT,WORKS,1,G
319,WOULD,WOULD,0,
320,WOULDN,WOULDN,0,
321,WRONG,WRONG,0,
186,VERKEERDE,WRONG,0,
